tinh,huyen,xa,Ho,x,y,prop.ho,songuoi,danso,pro.pop,area_km,songuoi_km,danso_km,distm_km,rank,geometry
Ha Noi,Bac Tu Liem,Phuong Xuan Tao,Mai,105.7946031,21.06179659,0.783630031,112,18030,0.621186911,2.267414414,49.39546971,7951.788561,6.878084124,120,
Ha Noi,Thanh Xuan,Phuong Thanh Xuan Nam,Mai,105.8000122,20.98695452,0.783630031,98,12137,0.807448299,0.35091673,279.2685322,34586.55281,6.999639776,121,
Ha Noi,Dong Anh,Xa Xuan Canh,Mai,105.8513069,21.0937234,0.783630031,14,12070,0.115990058,6.332727575,2.210737764,1905.971772,7.201693911,122,
Ha Noi,Hoang Mai,Phuong Linh Nam,Mai,105.8946807,20.97809648,0.783630031,132,30655,0.430598597,5.487026618,24.05674497,5586.814523,7.237307791,123,
Ha Noi,Hoang Mai,Phuong Tran Phu,Mai,105.8842696,20.96921517,0.783630031,56,14072,0.397953383,4.052448814,13.81880502,3472.468289,7.45713218,124,
Ha Noi,Bac Tu Liem,Phuong Co Nhue 1,Mai,105.7829598,21.05126484,0.783630031,318,44671,0.711871236,2.270478409,140.058588,19674.70812,7.461257361,125,
Ha Noi,Hoang Mai,Phuong Hoang Liet,Mai,105.8379356,20.96189631,0.783630031,794,78078,1.016931786,5.471133638,145.1253164,14270.89981,7.510415993,126,
Ha Noi,Gia Lam,Xa Dong Du,Mai,105.9136487,20.99556058,0.783630031,18,6166,0.291923451,3.907228086,4.606846491,1578.100859,7.511485295,127,
Ha Noi,Nam Tu Liem,Phuong Me Tri,Mai,105.7807064,21.00699736,0.783630031,182,30079,0.605073307,4.546396549,40.0317038,6616.008894,7.651523244,128,
Ha Noi,Hoang Mai,Phuong Yen So,Mai,105.8712188,20.96218316,0.783630031,146,23114,0.631651813,7.24819145,20.1429558,3188.933427,7.668495592,129,
Ha Noi,Dong Anh,Xa Tam Xa,Mai,105.8366716,21.09687049,0.783630031,6,5028,0.119331742,4.053705088,1.480127407,1240.346767,7.687102583,130,
Ha Noi,Dong Anh,Xa Mai Lam,Mai,105.8888453,21.08898207,0.783630031,58,14049,0.412840772,6.45519716,8.98500829,2176.385887,7.770452329,131,
Ha Noi,Nam Tu Liem,Phuong My Dinh 2,Mai,105.7747197,21.02787439,0.783630031,217,31972,0.678718879,2.079710509,104.3414451,15373.29347,7.887448095,132,
Ha Noi,Nam Tu Liem,Phuong Trung Van,Mai,105.784897,20.99284233,0.783630031,294,40606,0.724030931,2.764116031,106.3631182,14690.4108,7.89881157,133,
Ha Noi,Tay Ho,Phuong Phu Thuong,Mai,105.8092365,21.0885892,0.783630031,667,25389,2.627121982,8.612267798,77.44766137,2948.00401,7.903659209,134,
Ha Noi,Long Bien,Phuong Phuc Loi,Mai,105.9251671,21.043134,0.783630031,129,18749,0.688036695,6.27619706,20.55384794,2987.318566,7.915225978,135,
Ha Noi,Cau Giay,Phuong Mai Dich,Mai,105.7754338,21.04048892,0.783630031,325,39159,0.829949692,1.967288658,165.2019894,19905.06062,7.921006826,136,
Ha Noi,Thanh Tri,Xa Tan Trieu,Mai,105.8008497,20.97421107,0.783630031,257,34212,0.75119841,3.006173454,85.49074227,11380.58083,7.944572822,137,
Ha Noi,Bac Tu Liem,Phuong Xuan Dinh,Mai,105.7902293,21.07444463,0.783630031,227,39461,0.575251514,3.499954698,64.85798235,11274.71736,8.064249974,138,
Ha Noi,Long Bien,Phuong Giang Bien,Mai,105.9187843,21.06481938,0.783630031,163,24032,0.678262317,4.252898636,38.32680107,5650.734253,8.139167988,139,
Ha Noi,Thanh Tri,Xa Thanh Liet,Mai,105.8126374,20.96386438,0.783630031,139,18649,0.745348276,3.453377197,40.250454,5400.220983,8.189775441,140,
Ha Noi,Ha Dong,Phuong Van Quan,Mai,105.7905593,20.9777019,0.783630031,157,23627,0.664494011,1.333720219,117.7158431,17715.10971,8.415091102,141,
Ha Noi,Nam Tu Liem,Phuong My Dinh 1,Mai,105.7692533,21.02139936,0.783630031,197,26346,0.747741593,2.24196598,87.86930834,11751.29339,8.493715507,142,
Ha Noi,Ha Dong,Phuong Mo Lao,Mai,105.7839579,20.9826547,0.783630031,232,33508,0.692371971,1.316977399,176.1609578,25443.10938,8.600068489,143,
Ha Noi,Gia Lam,Xa Bat Trang,Mai,105.9153701,20.97933841,0.783630031,16,8561,0.186894054,1.782531181,8.976000067,4802.721036,8.672031353,144,
Ha Noi,Thanh Tri,Thi tran Van Dien,Mai,105.8427258,20.94826621,0.783630031,124,15985,0.775727244,0.984362119,125.9699023,16238.94265,8.940803604,145,
Ha Noi,Thanh Tri,Xa Tam Hiep,Mai,105.830162,20.94985961,0.783630031,111,16375,0.677862595,3.12554386,35.51381934,5239.088214,8.981711665,146,
Ha Noi,Bac Tu Liem,Phuong Co Nhue 2,Mai,105.7727266,21.06411795,0.783630031,334,40197,0.830907779,4.339991019,76.95868461,9262.000734,8.994025637,147,
Ha Noi,Nam Tu Liem,Phuong Phu Do,Mai,105.7656067,21.00840955,0.783630031,73,15187,0.480674261,2.415845986,30.21715805,6286.410676,9.115451363,148,
Ha Noi,Nam Tu Liem,Phuong Cau Dien,Mai,105.7624328,21.03470385,0.783630031,241,25395,0.94900571,1.839249708,131.0316914,13807.26059,9.188190948,149,
Ha Noi,Ha Dong,Phuong Phuc La,Mai,105.7897698,20.96739677,0.783630031,303,31384,0.965460107,1.336949687,226.6353049,23474.33139,9.275203074,150,
Ha Noi,Gia Lam,Xa Kim Lan,Mai,105.9038404,20.96121195,0.783630031,9,6303,0.142789148,2.844498267,3.164002631,2215.856509,9.298050826,151,
Ha Noi,Gia Lam,Thi tran Trau Quy,Mai,105.9376828,21.00887526,0.783630031,220,31515,0.698080279,7.199278225,30.55861895,4377.522165,9.31555538,152,
Ha Noi,Thanh Tri,Xa Tu Hiep,Mai,105.8552086,20.94413113,0.783630031,123,19069,0.645025958,4.16842164,29.5075716,4574.633194,9.373440334,153,
Ha Noi,Bac Tu Liem,Phuong Phu Dien,Mai,105.763309,21.05154608,0.783630031,330,38807,0.850362048,2.544074376,129.7131888,15253.87794,9.418946784,154,
Ha Noi,Gia Lam,Xa Duong Ha,Mai,105.9331443,21.06530669,0.783630031,17,7154,0.237629298,2.721727301,6.246033537,2628.477878,9.490312035,155,
Ha Noi,Bac Tu Liem,Phuong Duc Thang,Mai,105.7760174,21.07873835,0.783630031,133,19218,0.692059528,1.260921537,105.4784109,15241.23384,9.528358845,156,
Ha Noi,Bac Tu Liem,Phuong Dong Ngac,Mai,105.7861373,21.09005711,0.783630031,141,23861,0.590922426,2.368944786,59.52017152,10072.41711,9.541987881,157,
Ha Noi,Gia Lam,Xa Co Bi,Mai,105.9432463,21.03178396,0.783630031,65,15174,0.428364307,4.956488932,13.11412189,3061.441316,9.637528472,158,
Ha Noi,Ha Dong,Phuong Yet Kieu,Mai,105.7778244,20.9745348,0.783630031,31,5956,0.520483546,0.201894857,153.5452686,29500.50386,9.652819863,159,
Ha Noi,Dong Anh,Xa Co Loa,Mai,105.8668182,21.11492683,0.783630031,19,19471,0.097581018,8.464786701,2.244592885,2300.235161,9.696669252,160,
Ha Noi,Ha Dong,Phuong Van Phuc,Mai,105.7719819,20.9801803,0.783630031,71,18605,0.381617845,1.456911357,48.73323257,12770.16609,9.779111967,161,
Ha Noi,Thanh Tri,Xa Yen My,Mai,105.8737705,20.9427642,0.783630031,8,5866,0.136379134,3.87373488,2.065190378,1514.300844,9.813057753,162,
Ha Noi,Ha Dong,Phuong Nguyen Trai,Mai,105.7800343,20.96944982,0.783630031,48,12065,0.397845006,0.41339113,116.1127962,29185.43514,9.839827939,163,
Ha Noi,Gia Lam,Xa Da Ton,Mai,105.9347131,20.98692259,0.783630031,23,13152,0.174878345,7.401798717,3.107352804,1776.865395,9.892581016,164,
Ha Noi,Dong Anh,Xa Vinh Ngoc,Mai,105.8270738,21.11614325,0.783630031,22,15776,0.139452333,9.296924544,2.366373944,1696.905243,9.987246741,165,
Ha Noi,Nam Tu Liem,Phuong Dai Mo,Mai,105.7616834,20.99409918,0.783630031,193,30433,0.634180002,5.184908847,37.22341235,5869.534239,10.00476243,166,
Hung Yen,Van Giang,Xa Xuan Quan,Mai,105.9176889,20.96170833,0.783630031,53,15639,0.338896349,5.21706056,10.15897734,2997.66503,10.1809938,167,
Ha Noi,Gia Lam,Xa Dinh Xuyen,Mai,105.9347029,21.07790509,0.783630031,31,11176,0.2773801,3.26819447,9.485359664,3419.625148,10.30164973,168,
Ha Noi,Bac Tu Liem,Phuong Thuy Phuong,Mai,105.7689308,21.08266749,0.783630031,72,13229,0.544258825,2.728145439,26.39155485,4849.081655,10.38069673,169,
Ha Noi,Bac Tu Liem,Phuong Phuc Dien,Mai,105.7520691,21.04690985,0.783630031,208,22385,0.929193656,2.219347313,93.72124806,10086.29874,10.43781515,170,
Ha Noi,Ha Dong,Phuong Ha Cau,Mai,105.7764993,20.96498308,0.783630031,137,21877,0.626228459,1.499425201,91.36834561,14590.25764,10.44425625,171,
Ha Noi,Ha Dong,Phuong Quang Trung,Mai,105.7707647,20.97077634,0.783630031,118,16509,0.714761645,0.783848492,150.5392959,21061.4681,10.48742203,172,
Ha Noi,Dong Anh,Xa Hai Boi,Mai,105.7997104,21.11066433,0.783630031,124,20731,0.598138054,6.621508963,18.72684923,3130.857349,10.50481444,173,
Ha Noi,Thanh Tri,Xa Huu Hoa,Mai,105.7997902,20.94652268,0.783630031,26,11339,0.229297116,2.965972058,8.766097419,3823.029947,10.51884494,174,
Ha Noi,Nam Tu Liem,Phuong Xuan Phuong,Mai,105.748132,21.02900897,0.783630031,289,16840,1.716152019,2.788982417,103.6220229,6038.044519,10.65077942,175,
Ha Noi,Ha Dong,Phuong Kien Hung,Mai,105.7864351,20.95305588,0.783630031,291,33843,0.85985285,4.270662348,68.13931336,7924.531897,10.70545456,176,
Ha Noi,Gia Lam,Xa Yen Thuong,Mai,105.917398,21.1033834,0.783630031,27,17720,0.152370203,8.750991779,3.085364571,2024.913341,10.79860258,177,
Ha Noi,Thanh Tri,Xa Vinh Quynh,Mai,105.8299934,20.93283604,0.783630031,120,26676,0.449842555,6.537459534,18.35575415,4080.484149,10.82568943,178,
Ha Noi,Dong Anh,Xa Duc Tu,Mai,105.8980581,21.11640493,0.783630031,11,17934,0.06133601,8.728298297,1.260268569,2054.696046,10.89338506,179,
Ha Noi,Thanh Tri,Xa Ngu Hiep,Mai,105.8598673,20.92754984,0.783630031,78,14791,0.527347711,3.08943454,25.24733863,4787.607509,11.23842313,180,
Ha Noi,Nam Tu Liem,Phuong Tay Mo,Mai,105.7440294,21.00991763,0.783630031,172,25167,0.683434656,6.281930065,27.38012016,4006.252814,11.27099958,181,
Ha Noi,Bac Tu Liem,Phuong Minh Khai,Mai,105.7472769,21.06078236,0.783630031,194,29581,0.655826375,5.042890384,38.47000137,5865.882013,11.31134726,182,
Ha Noi,Ha Dong,Phuong La Khe,Mai,105.7598837,20.96916836,0.783630031,275,38822,0.708361238,2.659591273,103.3993467,14596.97977,11.50478305,183,
Ha Noi,Gia Lam,Xa Dang Xa,Mai,105.9613994,21.03328667,0.783630031,155,20467,0.757316656,5.931906697,26.12987829,3450.323993,11.52963586,184,
Hung Yen,Van Giang,Xa Phung Cong,Mai,105.9272235,20.95293295,0.783630031,1,6518,0.015342129,4.947785413,0.202110625,1317.357051,11.56821931,185,
Ha Noi,Nam Tu Liem,Phuong Phuong Canh,Mai,105.7398815,21.04247849,0.783630031,131,17934,0.730456117,2.609245603,50.2060825,6873.25102,11.60878172,186,
Ha Noi,Thanh Tri,Xa Ta Thanh Oai,Mai,105.8061798,20.9315442,0.783630031,258,38955,0.662302657,8.078181656,31.93788045,4822.248577,11.70431374,187,
Ha Noi,Thanh Tri,Xa Duyen Ha,Mai,105.8802144,20.92635007,0.783630031,12,6184,0.194049159,2.899510405,4.138629742,2132.77386,11.74107,188,
Ha Noi,Gia Lam,Xa Ninh Hiep,Mai,105.9523128,21.07833086,0.783630031,11,17905,0.061435353,4.921785951,2.234961071,3637.907089,11.91594823,189,
Ha Noi,Bac Tu Liem,Phuong Lien Mac,Mai,105.7534244,21.08582272,0.783630031,38,10406,0.365173938,4.882948774,7.782182807,2131.089323,11.91671945,190,
Ha Noi,Ha Dong,Phuong Phu La,Mai,105.7647035,20.95734705,0.783630031,166,23291,0.712721652,1.778849682,93.31873382,13093.29295,11.92166479,191,
Ha Noi,Dong Anh,Xa Vong La,Mai,105.7687619,21.10429807,0.783630031,89,14118,0.630400907,8.570102883,10.38493951,1647.354786,11.93364862,192,
Ha Noi,Gia Lam,Xa Phu Dong,Mai,105.9621491,21.05539402,0.783630031,14,13611,0.102857983,11.89025652,1.177434648,1144.718785,11.96667335,193,
Ha Noi,Ha Dong,Phuong Duong Noi,Mai,105.7461497,20.98128745,0.783630031,149,32061,0.464739091,5.965921797,24.9751849,5374.02284,12.05990613,194,
Ha Noi,Gia Lam,Xa Kieu Ky,Mai,105.9539353,20.9781939,0.783630031,24,12832,0.187032419,5.983399788,4.011097511,2144.600136,12.11153162,195,
Ha Noi,Gia Lam,Xa Duong Xa,Mai,105.9646378,21.00191472,0.783630031,46,13758,0.334350923,4.978509297,9.239713589,2763.477816,12.22098589,196,
Ha Noi,Thanh Tri,Xa Ngoc Hoi,Mai,105.8421639,20.91855081,0.783630031,67,13019,0.51463246,3.796156529,17.64943028,3429.521386,12.22474638,197,
Ha Noi,Gia Lam,Xa Phu Thi,Mai,105.9698531,21.02550702,0.783630031,13,9165,0.141843972,5.101103527,2.548468176,1796.670064,12.40241561,198,
Ha Noi,Dong Anh,Xa Uy No,Mai,105.8566391,21.14115366,0.783630031,71,21237,0.334322174,7.65862571,9.270592752,2772.951807,12.46856563,199,
